couple,together,Sun-Sun_angle,Sun-Sun_aspect,Sun-Moon_angle,Sun-Moon_aspect,Sun-Venus_angle,Sun-Venus_aspect,Sun-Mars_angle,Sun-Mars_aspect,Moon-Sun_angle,Moon-Sun_aspect,Moon-Moon_angle,Moon-Moon_aspect,Moon-Venus_angle,Moon-Venus_aspect,Moon-Mars_angle,Moon-Mars_aspect,Venus-Sun_angle,Venus-Sun_aspect,Venus-Moon_angle,Venus-Moon_aspect,Venus-Venus_angle,Venus-Venus_aspect,Venus-Mars_angle,Venus-Mars_aspect,Mars-Sun_angle,Mars-Sun_aspect,Mars-Moon_angle,Mars-Moon_aspect,Mars-Venus_angle,Mars-Venus_aspect,Mars-Mars_angle,Mars-Mars_aspect
Barack Obama & Michelle Obama,True,164.06596096551164,none,192.64741279145863,none,198.0847125478565,none,171.02803124330973,opposition,238.16661061392136,trine,266.74806243986836,square,272.1853621962662,square,245.12868089171945,trine,204.89767944779595,none,233.47913127374295,trine,238.9164310301408,trine,211.85974972559404,none,123.89786935976602,trine,152.47932118571302,none,157.91662094211088,none,130.8599396375641,none
Tom Hanks & Rita Wilson,True,105.85161627822262,none,12.536423457187055,none,66.4665975883076,none,237.60986276031804,trine,87.60843139911171,square,354.29323857807617,conjunction,48.22341270919668,none,219.36667788120712,none,130.1650454531545,none,36.84985263211894,none,90.78002676323948,square,261.92329193524995,none,225.82049379153048,none,132.50530097049491,none,186.43547510161545,opposition,357.5787402736259,conjunction
Beyonce & Jay-Z,True,90.39385928024171,square,27.06366863265805,none,78.08219948821136,none,159.96416022219012,none,23.746770263042407,none,320.4165796154588,none,11.435110471012052,none,93.31707120499081,square,52.19413586527685,none,348.8639452176932,none,39.882476073246494,none,121.76443680722525,trine,130.68552710322712,none,67.35533645564344,none,118.37386731119675,trine,200.25582804517552,none
David Beckham & Victoria Beckham,True,345.78295316614907,none,286.422681490911,none,299.888257996653,sextile,47.02528112719892,none,86.65181545403016,square,27.29154377879206,none,40.757120284534096,none,147.89414341508,none,305.6549974205149,sextile,246.29472574527682,trine,259.76030225101886,none,6.897325381564784,conjunction,41.449076059101344,none,342.08880438386325,none,355.5543808896053,conjunction,102.6914040201512,none
Will Smith & Jada Pinkett,True,352.0703298400453,conjunction,340.19634922582634,none,357.967128949303,conjunction,129.54930765559118,none,306.21431669817366,none,294.34033608395475,sextile,312.11111580743136,none,83.69329451371954,square,325.91313416918445,none,314.03915355496554,none,331.80993327844214,none,103.39211198473032,none,22.351022169238234,none,10.477041555019298,none,28.247821278495934,none,159.8299999847841,none
Denzel Washington & Pauletta Washington,True,269.0730459939132,square,115.22256665733616,trine,257.13068498770576,none,326.14460722130195,none,238.48102025773665,trine,84.63054092115965,square,226.5386592515292,none,295.5525814851254,sextile,311.79571017038245,none,157.94523083380543,none,299.85334916417503,sextile,8.86727139777119,conjunction,197.85245583766874,none,44.00197650109175,none,185.9100948314613,opposition,254.92401706505748,none
Meryl Streep & Don Gummer,True,169.30987611365396,none,41.71565307970086,none,136.89440020927026,none,175.71041327920494,opposition,217.50768467397472,none,89.91346164002161,square,185.09220876959102,opposition,223.9082218395257,none,151.6519823484029,none,24.057759314449797,none,119.23650644401921,trine,158.05251951395388,none,191.15348423853715,none,63.55926120458402,sextile,158.73800833415345,none,197.55402140408813,none
Paul Newman & Joanne Woodward,True,32.0270694807478,none,16.556610399661565,none,37.00001867620381,none,10.048900006825477,none,9.208158690996697,conjunction,353.73769960991046,conjunction,14.181107886452708,none,347.2299892170744,none,53.695396827779405,none,38.22493774669317,none,58.668346023235415,sextile,31.717227353857083,none,314.3397616185396,none,298.8693025374534,sextile,319.31271081399564,none,292.3615921446173,none
Michael J Fox & Tracy Pollan,True,13.116425250159566,none,355.1462264157013,conjunction,13.066011662962225,none,313.6185762162835,none,63.47606751591013,sextile,45.505868681451844,none,63.42565392871279,sextile,3.9782184820340802,conjunction,58.33831813520144,sextile,40.36811930074315,none,58.2879045480041,sextile,358.84046910132537,conjunction,312.5958614857162,none,294.6256626512579,sextile,312.5454478985189,none,253.09801245184016,none
Kevin Bacon & Kyra Sedgwick,True,40.719949704404016,none,305.13354061885565,sextile,74.4351143206453,none,103.73472642078396,none,136.9101817370612,none,41.32377265151284,none,170.6253463533025,opposition,199.92495845344115,none,72.91528475401559,none,337.3288756684672,none,106.63044937025687,none,135.93006147039551,none,124.84296858388089,trine,29.25655949833253,none,158.55813320012217,none,187.85774530026083,opposition
